21	1	111	20201109
141	1	111	20211029
39	1	89	20190517
39	1	89	20190517
144	1	89	20190531
39	1	111	20190712
29	1	89	20190717
165	1	171	20191010
29	1	126	20190717
181	1	171	20190612
217	11	125	20190726
53	11	125	20190930
170	11	132	20191001
170	11	125	20190703
29	11	125	20190908
217	11	188	20190906
137	11	132	20190918
83	11	125	20190920
25	11	125	20191008
183	11	79	20190710
83	11	125	20190904
170	11	188	20190506
170	11	188	20191008
43	11	125	20190722
170	11	188	20191112
137	11	125	20190715
159	11	125	20190801
170	11	188	20170704
165	22	195	20220724
177	22	84	20190729
177	22	84	20190904
177	22	84	20190730
29	22	188	20190611
166	22	84	20190611
29	22	188	20200609
177	22	84	20190904
177	22	84	20190729
29	22	188	20190609
177	22	84	20190803
177	22	84	20190729
177	22	84	20190729
144	22	188	20191007
177	22	84	20190730
177	22	84	20190803
177	22	192	20190618
165	22	195	20190724
177	22	81	20211215
25	22	81	20190802
177	22	84	20190429
7	30	140	20181108
7	30	78	20211004
7	30	215	20201116
7	30	215	20210630
7	30	215	20191004
7	30	215	20190916
7	30	215	20190807
7	30	215	20150706
181	30	215	20190729
7	30	78	20190613
7	30	215	20190723
7	30	23	20191015
7	30	23	20191015
7	30	78	20050914
7	30	215	20210630
43	37	26	20190905
43	37	152	20190626
55	37	26	20190602
36	37	152	20190506
43	37	152	20210403
43	37	152	20190427
43	37	26	20190521
43	37	152	20211209
43	37	26	20060206
43	37	26	20190706
43	37	152	20170527
43	37	26	20140204
140	40	36	20190802
43	40	36	20170806
140	40	204	20220616
36	40	67	20190527
140	40	166	20190613
140	40	19	20201021
19	40	36	20180411
140	40	67	20190927
140	40	43	20191022
140	40	140	20190619
67	40	140	20190526
140	40	67	20220127
67	40	140	20190610
140	40	67	20190718
140	40	67	20190802
36	40	58	20190709
67	40	67	20211211
140	40	67	20190731
140	40	67	20190611
77	40	67	20190710
67	40	36	20190807
67	40	67	20200617
140	40	67	20190830
140	40	67	20190521
67	40	67	20220107
140	40	67	20190802
140	40	67	20190620
140	40	140	20210605
140	40	166	20210605
179	40	166	20191014
18	40	43	20190522
140	40	67	20190524
67	40	140	20190902
67	40	36	20210625
116	9	10	20190826
1	9	176	20190918
53	9	77	20190807
21	9	168	20190705
172	9	166	20190812
43	39	43	20140331
43	39	43	20190712
43	39	43	20140422
43	39	43	20190606
68	12	41	20191120
72	12	114	20190705
72	12	169	20201117
197	12	94	20190523
110	12	185	20140514
72	12	114	20211014
213	12	214	20220106
166	12	117	20190524
178	12	121	20200928
178	12	164	20190723
101	12	207	20160212
213	12	185	20210820
101	12	75	20200720
139	12	198	20191229
72	12	198	20191229
197	12	63	20191001
213	12	214	20190718
68	12	41	20160729
72	12	41	20210613
72	12	169	20210613
197	12	117	20191012
208	12	211	20190701
208	12	211	20210901
72	12	209	20190827
178	12	211	20220106
68	12	41	20160804
197	12	94	20190920
197	12	94	20190920
72	12	114	20190731
213	12	214	20211202
197	12	94	20190522
168	12	181	20201130
